"Sample_ID","Category","SMS_Text","Language","Label"
"SD0101","Gambling/Gaming Scams","Congratulations! Aapne Online Rummy mein Rs.25000 jeete hain. Withdraw karne ke liye verify karein: https://rummy-win-demo.example/claim Sender: VM-RUMMYWIN","Hinglish","Phishing"
"SD0102","Gambling/Gaming Scams","JACKPOT ALERT! You won Rs.50,000 on Teen Patti Gold. Claim within 24 hrs: http://teenpatti-bonus.example/withdraw Helpline: +91-9900112233","English","Phishing"
"SD0103","Gambling/Gaming Scams","Dear Player, your account has Rs.10,000 bonus pending. Verify PAN to withdraw: https://gamingzone-demo.example/verify Sender: AD-GAMEZONE","English","Phishing"
"SD0104","Gambling/Gaming Scams","Aapka Ludo King wallet mein Rs.8000 add hua hai. Abhi claim karein warna expire ho jayega: https://ludo-rewards.example/claim","Hinglish","Phishing"
"SD0105","Gambling/Gaming Scams","WIN BIG! Deposit Rs.500 get Rs.5000 free in Poker App. Limited time offer: http://poker-bonus-demo.example/deposit Sender: VM-POKERAPP","English","Phishing"
"SD0106","Gambling/Gaming Scams","Aapne Fantasy Cricket contest mein first prize jeeta hai Rs.1,00,000! KYC complete karein withdraw ke liye: https://fantasy-prize.example/kyc","Hinglish","Phishing"
"SD0107","Gambling/Gaming Scams","ALERT: Your betting account shows unclaimed winnings of Rs.32,500. Login now: https://betwin-demo.example/login Helpline: +91-9811223344","English","Phishing"
"SD0108","Gambling/Gaming Scams","Casino Royale Bonus: Free Rs.2000 chips on signup today only. Register: http://casino-royale.example/signup Sender: AD-CASINOOFFER","English","Phishing"
"SD0109","Gambling/Gaming Scams","Aapka 91Club account suspend hone wala hai pending withdrawal ki wajah se. Verify karein: https://91club-verify-demo.example/verify","Hinglish","Phishing"
"SD0110","Gambling/Gaming Scams","Congrats! You are selected for VIP gaming rewards worth Rs.75,000. Claim before midnight: https://vipgaming-demo.example/claim Sender: VM-VIPGAME","English","Phishing"
"SD0111","Gambling/Gaming Scams","Spin and win promo: Aaj hi spin karein aur jeetein Rs.1 Lakh tak. Free entry: http://luckyspin-demo.example/play Helpline: +91-9822334455","Hinglish","Phishing"
"SD0112","Gambling/Gaming Scams","Dream11 ke contest mein aapki winning amount Rs.18,400 hold ho gayi hai. Release ke liye verify karein: https://dream-winning.example/release","Hinglish","Phishing"
"SD0113","Gambling/Gaming Scams","FINAL NOTICE: Withdraw your pending game winnings of Rs.22,000 before account closure: https://gamewallet-demo.example/withdraw Sender: AD-GAMEWALLET","English","Phishing"
"SD0114","Gambling/Gaming Scams","Aapko Andar Bahar app mein lucky bonus mila hai Rs.6500. Activate karein abhi: http://andarbahar-bonus.example/activate","Hinglish","Phishing"
"SD0115","Gambling/Gaming Scams","Refer and Earn: Apne friends ko invite karo aur paao Rs.500 per referral instantly. Join: https://refergame-demo.example/join Sender: VM-REFERGAME","Hinglish","Phishing"
"SD0116","SIM/KYC Scams","IMPORTANT: Your SIM card KYC verification is incomplete. Update within 24 hours or service will be suspended: https://simkyc-update.example/verify Sender: VM-TELECOM","English","Phishing"
"SD0117","SIM/KYC Scams","Aapka mobile number 2 ghante mein band ho jayega due to pending Aadhaar KYC. Abhi update karein: http://aadhaar-simkyc.example/update Helpline: +91-9876123450","Hinglish","Phishing"
"SD0118","SIM/KYC Scams","Dear Customer, your e-KYC is pending and SIM will be deactivated tonight. Click to complete: https://ekyc-portal-demo.example/complete Sender: AD-JIOKYC","English","Phishing"
"SD0119","SIM/KYC Scams","NOTICE: TRAI ke naye niyam ke according aapka SIM 24 ghante mein band hoga. Re-verify karein: https://trai-simverify.example/reverify","Hinglish","Phishing"
"SD0120","SIM/KYC Scams","Your Airtel number will be permanently blocked due to incomplete KYC. Verify now: http://airtel-kycverify.example/verify Helpline: +91-9900223344","English","Phishing"
"SD0121","SIM/KYC Scams","Last warning: Your VI SIM KYC update pending. Complete it now to avoid disconnection: https://vi-kycupdate.example/now Sender: VM-VIKYC","English","Phishing"
"SD0122","SIM/KYC Scams","Aapka BSNL SIM card document verification ke bina suspend kar diya jayega. Turant link kholen: http://bsnl-docverify.example/link","Hinglish","Phishing"
"SD0123","SIM/KYC Scams","ALERT: Unusual activity detected on your SIM. Re-KYC required immediately to prevent number porting fraud: https://simfraud-alert.example/rekyc Sender: AD-SIMSECURE","English","Phishing"
"SD0124","SIM/KYC Scams","Telecom Dept notice: Aapka number duplicate KYC ki wajah se flag hua hai. Verify karein 12 ghante mein: https://telecom-flagcheck.example/verify","Hinglish","Phishing"
"SD0125","SIM/KYC Scams","Dear Subscriber, your SIM will stop working from tomorrow. Complete biometric KYC update here: https://biometric-simkyc.example/update Helpline: +91-9811556677","English","Phishing"
"SD0126","SIM/KYC Scams","Aapke naam par 9 SIM cards issue hue hain jo fraud mein use ho rahe hain. Block karne ke liye click karein: http://simfraud-block.example/block","Hinglish","Phishing"
"SD0127","SIM/KYC Scams","Final Reminder: Your mobile KYC expires today. Failure to update will result in permanent number loss: https://kycexpiry-demo.example/renew Sender: VM-KYCRENEW","English","Phishing"
"SD0128","SIM/KYC Scams","Govt notice: Sabhi SIM card holders ko naya KYC form bharna zaroori hai. Form yahan bharein: https://govtsimform.example/fillform","Hinglish","Phishing"
"SD0129","SIM/KYC Scams","Your SIM-based bank OTP service will stop due to KYC mismatch. Resolve immediately: http://otpkyc-mismatch.example/resolve Helpline: +91-9822667788","English","Phishing"
"SD0130","SIM/KYC Scams","Aapka international roaming SIM verification ke bina cancel ho jayega. Abhi confirm karein: https://roamingsim-verify.example/confirm Sender: AD-ROAMVERIFY","Hinglish","Phishing"
"SD0131","Job Scams","HIRING NOW: Part-time online typing job, earn Rs.20,000/month from home. Apply today: https://typingjobs-demo.example/apply Sender: VM-TYPEJOB","English","Phishing"
"SD0132","Job Scams","Aapko Amazon packing job ke liye select kiya gaya hai. Daily payment Rs.1200. Registration karein: http://amazonpack-job.example/register Helpline: +91-9877001122","Hinglish","Phishing"
"SD0133","Job Scams","Work From Home Alert: Data entry job, no qualification needed, Rs.18000/week guaranteed. Join now: https://wfhjobs-demo.example/join Sender: AD-WFHJOBS","English","Phishing"
"SD0134","Job Scams","Govt job vacancy: Railway mein 5000+ posts nikli hain, application free hai. Apply karein abhi: https://railwayjobs-demo.example/apply","Hinglish","Phishing"
"SD0135","Job Scams","Dear Candidate, your HR interview is scheduled. Pay registration fee Rs.500 to confirm slot: http://hrinterview-confirm.example/pay Helpline: +91-9900334455","English","Phishing"
"SD0136","Credit Card/Loan Scams","Aapka SBI card upgrade ho gaya hai with Rs.5 Lakh limit. Activate karein abhi: https://sbicard-upgrade.example/activate Sender: VM-SBICARD","Hinglish","Phishing"
"SD0137","Credit Card/Loan Scams","Pre-approved instant loan of Rs.2,00,000 available. No documents required. Apply: http://instantloan-demo.example/apply Helpline: +91-9811223300","English","Phishing"
"SD0138","Credit Card/Loan Scams","URGENT: Your ICICI credit card payment failed. Update card details to avoid blocking: https://iciciupdate-demo.example/update Sender: AD-ICICIPAY","English","Phishing"
"SD0139","Credit Card/Loan Scams","Aapke liye special loan offer: Sirf 2% interest rate, abhi apply karein: https://lowinterest-loan.example/apply","Hinglish","Phishing"
"SD0140","Credit Card/Loan Scams","Your loan EMI bounced. Pay immediately to avoid CIBIL score damage: http://emibounce-pay.example/pay Helpline: +91-9822445566","English","Phishing"
"SD0141","Electricity Bill Scams","Final Notice: Aapka power connection 3 ghante mein katega due bill ki wajah se. Pay karein: https://powercut-final.example/pay Sender: VM-POWERPAY","Hinglish","Phishing"
"SD0142","Electricity Bill Scams","Dear Consumer, your electricity board account shows Rs.2150 due. Settle now: http://ebillsettle-demo.example/settle Helpline: +91-9900556677","English","Phishing"
"SD0143","Electricity Bill Scams","TNEB Alert: Aapka bijli bill autopay fail ho gaya. Manually pay karein abhi: https://tnebpay-demo.example/manualpay Sender: AD-TNEBALERT","Hinglish","Phishing"
"SD0144","Lottery/Reward Scams","CONGRATULATIONS! Your mobile number won Rs.10,00,000 in KBC lucky draw. Claim now: https://kbclucky-demo.example/claim Sender: VM-KBCWIN","English","Phishing"
"SD0145","Lottery/Reward Scams","Aapko Flipkart anniversary lucky draw mein iPhone jeeta hai. Delivery ke liye details bharein: http://flipkart-luckydraw.example/details","Hinglish","Phishing"
"SD0146","Lottery/Reward Scams","WINNER NOTICE: You have been selected for Rs.5,00,000 cash reward. Verify identity to claim: https://cashreward-demo.example/verify Helpline: +91-9811667788","English","Phishing"
"SD0147","Social Media Account Scams","WhatsApp Security Team: Aapka account 2 din mein deactivate hoga unauthorized login ki wajah se. Verify: https://wa-secureteam.example/verify","Hinglish","Phishing"
"SD0148","Social Media Account Scams","Your Twitter/X account has been reported for violation. Appeal now or lose access permanently: http://x-appeal-demo.example/appeal Sender: AD-XSUPPORT","English","Phishing"
"SD0149","Social Media Account Scams","Aapka YouTube channel copyright strike ki wajah se band hone wala hai. Abhi appeal file karein: https://yt-strikeappeal.example/file Helpline: +91-9822990011","Hinglish","Phishing"
"SD0150","Social Media Account Scams","Pinterest Alert: Suspicious login detected from new device. Secure your account immediately: https://pinterest-secure-demo.example/secure Sender: VM-PINSEC","English","Phishing"
