"Sample_ID","Category","SMS_Text","Language","Label"
"SD0201","Gambling/Gaming Scams","Aapka Junglee Rummy account mein Rs.12,000 ka deposit bonus pending hai. Activate karein abhi: https://jungleerummy-bonus.example/activate Sender: VM-JUNGLEE","Hinglish","Phishing"
"SD0202","Gambling/Gaming Scams","Mega Jackpot Alert: Your lucky number matched in the online casino draw, win Rs.95,000. Claim: http://megajackpot-demo.example/claim Helpline: +91-9811334477","English","Phishing"
"SD0203","Gambling/Gaming Scams","Aapko WinZO game mein referral bonus Rs.7500 mila hai. KYC verify karein withdraw ke liye: https://winzo-referral.example/kyc Sender: AD-WINZOBONUS","Hinglish","Phishing"
"SD0204","Gambling/Gaming Scams","Your betting wallet has Rs.18,200 ready to withdraw. Complete bank verification now: https://betwallet-verify-demo.example/verify Helpline: +91-9900667744","English","Phishing"
"SD0205","Gambling/Gaming Scams","Aapka PUBG Mobile lucky spin se UC coins aur cash prize Rs.5000 jeeta hai. Claim karein: http://pubg-luckyspin.example/claim","Hinglish","Phishing"
"SD0206","Gambling/Gaming Scams","FINAL CALL: Your online lottery game ticket won Rs.60,000. Submit bank details before expiry: https://lotterygame-demo.example/submit Sender: VM-LOTTOGAME","English","Phishing"
"SD0207","Gambling/Gaming Scams","Aapke Khelo24 account mein signup bonus Rs.2000 add hua hai. Abhi claim karein: https://khelo24-signup.example/claim Helpline: +91-9822115566","Hinglish","Phishing"
"SD0208","Social Media Account Scams","Aapka Facebook Dating profile inappropriate content ki wajah se review mein hai. Appeal karein: https://fbdating-review.example/appeal Sender: AD-FBDATING","Hinglish","Phishing"
"SD0209","Social Media Account Scams","Your Instagram Reels monetization is paused due to policy review. Confirm eligibility: http://reels-monetize-demo.example/confirm Helpline: +91-9877223366","English","Phishing"
"SD0210","Social Media Account Scams","Aapka Threads account verification badge expire hone wala hai. Renew karein abhi: https://threads-badgerenew.example/renew Sender: VM-THREADSBADGE","Hinglish","Phishing"
"SD0211","Social Media Account Scams","WhatsApp Web Alert: A new device tried to scan your QR code. Confirm or your chats will be exposed: https://wa-qrcode-demo.example/confirm","English","Phishing"
"SD0212","Social Media Account Scams","Aapka Telegram channel subscribers fraud activity ki wajah se freeze ho gaya hai. Verify: http://tg-channelfreeze.example/verify Helpline: +91-9900334422","Hinglish","Phishing"
"SD0213","Social Media Account Scams","Your Facebook Ads account has an unpaid balance of Rs.3400. Settle now to avoid suspension: https://fbads-balance-demo.example/settle Sender: AD-FBADSPAY","English","Phishing"
"SD0214","Electricity Bill Scams","Aapka APSPDCL bill payment gateway error ki wajah se fail hua. Dobara try karein: https://apspdcl-retry-demo.example/retry Sender: VM-APSPDCL","Hinglish","Phishing"
"SD0215","Electricity Bill Scams","Notice: Your electricity bill auto-debit failed due to insufficient balance. Pay manually: http://autodebit-fail.example/pay Helpline: +91-9811556688","English","Phishing"
"SD0216","Electricity Bill Scams","Aapke ghar ka naya digital meter install hone wala hai. Booking fee Rs.299 pay karein: https://digitalmeter-booking.example/pay","Hinglish","Phishing"
"SD0217","Electricity Bill Scams","CESC Important Notice: Your account shows a billing discrepancy of Rs.670. Resolve within 24 hrs: https://cescdiscrepancy.example/resolve Sender: AD-CESCNOTICE","English","Phishing"
"SD0218","Lottery/Reward Scams","Aapka number Paytm First Games lucky winner list mein hai Rs.30,000 ke liye. Claim karein: https://paytmfirst-lucky.example/claim Sender: VM-PAYTMLUCKY","Hinglish","Phishing"
"SD0219","Lottery/Reward Scams","Mega Millions India Edition: Your ticket number matches the winning combination! Claim Rs.2,00,000: http://megamillions-india.example/claim Helpline: +91-9822990022","English","Phishing"
"SD0220","Lottery/Reward Scams","Aapko Diwali bonanza lucky draw mein gold coins jeetne ka mauka mila hai. Register karein: https://diwalibonanza-demo.example/register","Hinglish","Phishing"
"SD0221","Lottery/Reward Scams","Notice: Your old currency notes qualify for RBI exchange reward of Rs.25,000. Apply here: https://rbiexchange-demo.example/apply Sender: AD-RBIREWARD","English","Phishing"
"SD0222","Job Scams","Aapko ek MNC company se WFH job offer mila hai Rs.30,000 fixed salary ke saath. Apply abhi: https://mncwfh-job.example/apply Sender: VM-MNCJOB","Hinglish","Phishing"
"SD0223","Job Scams","Urgent Vacancy: Content writer needed, work 2hrs/day, earn Rs.15000/week. No experience required: http://contentwriter-job.example/apply Helpline: +91-9900112266","English","Phishing"
"SD0224","Job Scams","Aapka resume Infosys recruitment drive ke liye shortlist hua hai. Confirm interview slot: https://infosysdrive-demo.example/confirm","Hinglish","Phishing"
"SD0225","Job Scams","Dear Applicant, your virtual assistant job application is approved. Pay onboarding fee Rs.799: https://vajob-onboard.example/pay Sender: AD-VAJOBPAY","English","Phishing"
"SD0226","Credit Card/Loan Scams","Aapka Bajaj Finserv loan eligibility check complete hui hai, Rs.6 Lakh approved. Confirm: https://bajajloan-approved.example/confirm Sender: VM-BAJAJLOAN","Hinglish","Phishing"
"SD0227","Credit Card/Loan Scams","Your IDFC First credit card cashback of Rs.2200 is ready. Redeem before it expires: http://idfccashback-demo.example/redeem Helpline: +91-9811667733","English","Phishing"
"SD0228","Credit Card/Loan Scams","Aapke gold loan ki application process complete hone wali hai. Final verification karein: https://goldloan-finalverify.example/verify","Hinglish","Phishing"
"SD0229","Credit Card/Loan Scams","NOTICE: Suspicious transaction blocked on your Yes Bank card. Confirm your identity to unblock: https://yesbankblock-demo.example/confirm Sender: AD-YESBANKSEC","English","Phishing"
"SD0230","SIM/KYC Scams","Aapka eSIM activation ke liye KYC verification pending hai. 6 ghante mein complete karein: https://esim-kycpending.example/complete Sender: VM-ESIMKYC","Hinglish","Phishing"
"SD0231","SIM/KYC Scams","Important: Your SIM card registered under your ID shows mismatch in records. Verify now: http://simrecord-mismatch.example/verify Helpline: +91-9822667711","English","Phishing"
"SD0232","SIM/KYC Scams","Aapka corporate SIM connection company KYC ke bina suspend ho jayega. Turant verify karein: https://corpsimkyc-demo.example/verify","Hinglish","Phishing"
"SD0233","SIM/KYC Scams","TRAI Final Notice: Multiple SIMs found under your Aadhaar. Deactivate unwanted ones here: https://traimultisim-demo.example/deactivate Sender: AD-TRAISIMCHECK","English","Phishing"
"SD0234","Gambling/Gaming Scams","Aapke Call Break game mein tournament jeetne par Rs.16,500 ka prize aaya hai. Claim form bharein: https://callbreak-tourney.example/claimform","Hinglish","Phishing"
"SD0235","Gambling/Gaming Scams","Your spin wheel reward of Rs.7800 is about to expire. Login and withdraw now: http://spinwheel-expiry.example/withdraw Sender: VM-SPINWHEEL","English","Phishing"
"SD0236","Social Media Account Scams","Aapka Snapchat Snap Map location sharing settings ke wajah se compromise hua hai. Secure karein: https://snapmap-secure-demo.example/secure","Hinglish","Phishing"
"SD0237","Social Media Account Scams","Your Facebook account recovery request was received. If this wasn't you, secure it now: http://fbrecovery-alert.example/secure Helpline: +91-9900778833","English","Phishing"
"SD0238","Electricity Bill Scams","Aapka NBPDCL bill late fee ke saath pending hai Rs.1,150. Abhi clear karein: https://nbpdcl-latefee.example/clear Sender: AD-NBPDCLFEE","Hinglish","Phishing"
"SD0239","Electricity Bill Scams","Dear Consumer, your electricity refund of Rs.540 for excess payment is ready. Claim now: http://elecrefund-demo.example/claim Helpline: +91-9811223377","English","Phishing"
"SD0240","Lottery/Reward Scams","Aapka number Big Bazaar mega lucky draw mein select hua hai gift hamper ke liye. Confirm address: https://bigbazaar-luckydraw.example/confirm","Hinglish","Phishing"
"SD0241","Lottery/Reward Scams","Festive Reward Alert: You've won a free smartphone worth Rs.20,000. Pay shipping fee Rs.99 to claim: http://festivereward-demo.example/claim Sender: VM-FESTIVEWIN","English","Phishing"
"SD0242","Job Scams","Aapko ek freelance translation job ka offer mila hai Rs.10,000/project. Apply abhi: https://translatejob-demo.example/apply Sender: AD-TRANSLATEJOB","Hinglish","Phishing"
"SD0243","Job Scams","Dear Candidate, your online tutoring job application requires a verification deposit of Rs.600: http://tutorjob-deposit.example/pay Helpline: +91-9822334411","English","Phishing"
"SD0244","Credit Card/Loan Scams","Aapka two-wheeler loan pre-approved hai bina down payment ke. Apply karein abhi: https://twowheelerloan-demo.example/apply","Hinglish","Phishing"
"SD0245","Credit Card/Loan Scams","Your American Express card annual fee waiver is pending confirmation. Confirm now: https://amexwaiver-demo.example/confirm Sender: VM-AMEXWAIVER","English","Phishing"
"SD0246","SIM/KYC Scams","Aapka postpaid SIM plan KYC update ke bina downgrade ho jayega. Abhi verify karein: https://postpaidkyc-demo.example/verify Sender: AD-POSTPAIDKYC","Hinglish","Phishing"
"SD0247","SIM/KYC Scams","Important: Your number porting request requires immediate KYC confirmation: http://portingkyc-demo.example/confirm Helpline: +91-9900556622","English","Phishing"
"SD0248","Gambling/Gaming Scams","Aapka Ludo Supreme tournament prize Rs.21,000 withdrawal ke liye verification pending hai: https://ludosupreme-verify.example/verify Sender: VM-LUDOSUPREME","Hinglish","Phishing"
"SD0249","Social Media Account Scams","Your Pinterest business account ad spend limit needs verification to continue running ads: http://pinterestads-verify.example/verify Helpline: +91-9811998844","English","Phishing"
"SD0250","Electricity Bill Scams","Aapka MSEB final disconnection notice hai unpaid bill Rs.1,890 ke liye. Turant pay karein: https://msebfinal-demo.example/pay Sender: AD-MSEBFINAL","Hinglish","Phishing"
