"Sample_ID","Category","SMS_Text","Language","Label"
"SD0051","Electricity Bill Scams","URGENT: Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: https://ebill-pay-demo.example/pay Sender: VM-EBILL","English","Phishing"
"SD0052","Electricity Bill Scams","Dear Consumer, Your BESCOM electricity bill is overdue. Pay Rs.1240 immediately to avoid disconnection: http://bescom-pay.example/pay Helpline: +91-9800111222","English","Phishing"
"SD0053","Electricity Bill Scams","Aapka bijli bill abhi tak nahi bhara gaya. Aaj raat connection kat jayega. Turant yahan pay karein: https://bijli-bill-demo.example/pay","Hinglish","Phishing"
"SD0054","Electricity Bill Scams","ALERT: MSEDCL bill payment pending. Your power will be cut in 2 hours. Pay immediately: https://msedcl-pay.example/now Sender: AD-MSEDCL","English","Phishing"
"SD0055","Electricity Bill Scams","Notice from TNSEB: Bill payment overdue. Failure to pay within 24 hours will result in disconnection. Pay here: http://tnseb-bill.example/pay Support: +91-9988001234","English","Phishing"
"SD0056","Electricity Bill Scams","Pyare Grahak, Aapka bijli ka bill Rs.890 pending hai. Aaj shaam se pehle pay karein warna light band ho jayegi: http://bijlibill-portal.example/pay","Hinglish","Phishing"
"SD0057","Electricity Bill Scams","FINAL NOTICE: KSEB bill unpaid. Disconnect order issued for your meter. Pay now to avoid disruption: https://kseb-payment.example/pay Sender: VM-KSEB","English","Phishing"
"SD0058","Electricity Bill Scams","Dear Customer, Your electricity account shows a balance of Rs.2150 overdue. Pay before 6PM today: https://powerbill-demo.example/pay Helpline: +91-9822001133","English","Phishing"
"SD0059","Electricity Bill Scams","BSES Rajdhani: Aapka outstanding electricity bill Rs.1500 hai. Abhi pay karein: https://bses-bill.example/pay Sender: AD-BSESRJ","Hinglish","Phishing"
"SD0060","Electricity Bill Scams","URGENT: Last reminder before disconnection. Settle your electricity dues now: http://elec-due-demo.example/settle Helpline: +91-9900221133 Sender: VM-POWERBILL","English","Phishing"
"SD0061","Electricity Bill Scams","Your CESC electricity bill of Rs.3200 is unpaid. Immediate payment required to avoid service cut: https://cesc-pay-demo.example/pay Sender: AD-CESCALERT","English","Phishing"
"SD0062","Electricity Bill Scams","Bijli vibhag se soochna: Aapke account mein Rs.760 ka outstanding balance hai. Kal subah tak pay karein: http://bijlivibhag-demo.example/pay","Hinglish","Phishing"
"SD0063","Electricity Bill Scams","NOTICE: DHBVN electricity bill overdue. Your connection may be suspended by 8PM. Pay instantly: https://dhbvn-pay.example/now Sender: VM-DHBVN","English","Phishing"
"SD0064","Electricity Bill Scams","Dear Consumer, Electricity board has issued a disconnection notice for meter no. XXXXXX. Pay dues: https://ebillsecure-demo.example/pay Support: +91-9811334455","English","Phishing"
"SD0065","Electricity Bill Scams","Aapka UPPCL ka bill Rs.1100 se zyada ho gaya hai. Abhi neeche link se pay karein warna connection band hoga: https://uppcl-demo.example/pay Sender: AD-UPPCL","Hinglish","Phishing"
